First Name,Last Name,Email,Gender,Age,Department,Attendance (%),Midterm Score,Final Score,Assignment Average,Quiz Average,Participation Score,Project Score,Total Score,Grade,Study Hours Per Week,Extracurricular Activity,Internet Access,Parent's Education,Family Income,Stress Level
Krishna,Gupta,krishna.gupta23@example.com,Female,25,Data Science,72.46,69.04,76.93,78.21,79.06,94.14,81.44,76.67,B,31,No,Yes,High School,Low,Low
Reyansh,Chatterjee,reyansh.chatterjee493@example.com,Other,25,Mechanical,77.56,84.46,89.84,62.72,81.17,85.01,72.43,81.58,B,30,Yes,No,Diploma,High,High
Myra,Patel,myra.patel251@example.com,Female,22,Mechanical,93.76,67.75,73.88,73.27,74.19,67.04,58.72,70.43,B,18,No,No,Master,Low,High
Reyansh,Yadav,reyansh.yadav749@example.com,Female,17,Information Technology,95.95,57.3,57.13,53.47,66.33,64.77,95.7,61.78,C,17,No,No,Bachelor,Low,Medium
Sai,Pandey,sai.pandey437@example.com,Male,18,Electrical,90.1,59.68,100.0,84.82,70.1,53.01,100.0,82.3,B,9,Yes,Yes,PhD,Low,High
Riya,Nair,riya.nair815@example.com,Female,24,Civil,66.1,45.32,87.34,99.4,90.61,83.64,83.14,78.36,B,27,Yes,No,Bachelor,Middle,High
Myra,Chatterjee,myra.chatterjee465@example.com,Female,22,Information Technology,88.53,81.38,76.22,76.04,73.25,70.46,72.63,76.54,B,34,Yes,No,Master,Middle,Medium
Siya,Patel,siya.patel871@example.com,Other,20,Civil,63.07,68.52,57.17,63.96,76.16,91.92,87.02,67.65,C,21,Yes,Yes,Diploma,Low,High
Reyansh,Das,reyansh.das86@example.com,Female,17,Information Technology,64.29,55.16,86.11,65.18,71.3,83.5,64.38,71.45,B,31,Yes,Yes,High School,High,High
Vivaan,Das,vivaan.das761@example.com,Other,17,Mechanical,81.05,49.99,62.98,78.2,54.88,82.4,75.76,63.45,C,16,No,Yes,Diploma,Middle,Medium
Siya,Pandey,siya.pandey553@example.com,Other,20,Civil,85.52,73.36,92.46,76.25,68.85,79.22,82.52,81.24,B,24,No,Yes,Master,Low,High
Siya,Singh,siya.singh961@example.com,Male,20,Electrical,80.49,70.61,61.47,68.37,57.17,95.5,61.07,66.02,C,23,No,Yes,Master,Middle,Low
Aarav,Chatterjee,aarav.chatterjee269@example.com,Female,21,Computer Science,73.07,59.22,85.42,72.05,88.97,71.27,79.35,75.91,B,35,Yes,No,Diploma,High,Medium
Diya,Verma,diya.verma577@example.com,Female,17,Data Science,71.65,100.0,54.19,78.1,81.61,82.14,73.78,75.32,B,27,Yes,Yes,PhD,Middle,Low
Aadhya,Sharma,aadhya.sharma483@example.com,Other,17,Information Technology,78.7,70.66,69.79,84.64,100.0,72.43,59.56,74.37,B,13,No,Yes,PhD,Low,Low
Sai,Sharma,sai.sharma954@example.com,Other,21,Information Technology,79.12,100.0,59.94,91.39,94.13,72.46,82.83,81.01,B,33,No,No,Bachelor,Middle,High
Anika,Kapoor,anika.kapoor876@example.com,Male,19,Electrical,96.28,64.31,68.95,69.18,61.82,71.51,61.31,66.48,C,32,No,No,Master,Middle,High
Anaya,Joshi,anaya.joshi589@example.com,Male,23,Electronics,80.34,58.45,75.51,59.44,77.97,86.34,52.08,67.28,C,34,No,Yes,Diploma,High,High
Aditya,Kumar,aditya.kumar967@example.com,Female,21,Information Technology,83.74,88.42,53.86,91.73,79.03,70.95,75.33,73.7,B,12,Yes,Yes,Master,High,High
Krishna,Kumar,krishna.kumar39@example.com,Female,17,Computer Science,85.58,71.14,80.08,65.79,76.03,63.86,74.67,73.95,B,22,Yes,Yes,High School,High,Medium
Saanvi,Kapoor,saanvi.kapoor177@example.com,Other,18,Electrical,70.96,58.97,90.54,85.91,81.31,67.08,72.2,78.02,B,12,No,No,Master,High,Medium
Anaya,Nair,anaya.nair801@example.com,Male,21,Data Science,92.13,72.13,100.0,78.93,76.3,74.91,77.6,84.01,B,10,Yes,No,High School,High,Medium
Navya,Banerjee,navya.banerjee35@example.com,Other,23,Data Science,78.48,80.62,86.35,67.14,58.03,59.64,82.1,77.44,B,9,Yes,No,Master,Middle,Low
Myra,Banerjee,myra.banerjee478@example.com,Female,23,Electrical,68.97,37.71,77.83,99.93,73.93,86.38,76.98,71.07,B,25,No,No,PhD,Middle,Low
Aadhya,Malhotra,aadhya.malhotra643@example.com,Female,20,Electronics,79.01,83.79,67.65,77.67,77.86,71.32,87.9,76.42,B,33,Yes,No,High School,Middle,Low
Myra,Tiwari,myra.tiwari104@example.com,Male,17,Computer Science,78.25,58.66,80.05,66.02,74.34,77.91,89.03,72.82,B,28,Yes,No,High School,Middle,Medium
Atharv,Mehta,atharv.mehta523@example.com,Female,19,Electronics,84.75,69.62,84.27,88.9,80.69,78.1,60.26,78.24,B,11,Yes,Yes,High School,Low,High
Myra,Verma,myra.verma244@example.com,Male,20,Data Science,69.35,65.42,62.86,73.13,74.68,83.3,75.15,68.47,C,25,Yes,Yes,PhD,Middle,Low
Pari,Nair,pari.nair948@example.com,Other,17,Civil,84.87,70.97,42.37,65.61,72.27,65.9,83.2,61.25,C,5,Yes,No,High School,High,Low
Arjun,Saxena,arjun.saxena243@example.com,Female,19,Computer Science,95.31,88.28,68.8,89.91,75.78,74.63,68.64,77.81,B,34,No,No,High School,Low,Low
Reyansh,Patel,reyansh.patel591@example.com,Other,22,Information Technology,76.98,64.18,74.56,76.61,74.04,82.37,90.29,74.18,B,14,No,No,Diploma,Middle,High
Sai,Tiwari,sai.tiwari977@example.com,Male,22,Mechanical,89.5,47.73,33.69,84.34,57.6,75.75,61.96,52.12,D,22,No,Yes,High School,High,Medium
Myra,Iyer,myra.iyer716@example.com,Other,20,Data Science,61.98,78.12,83.39,69.23,42.91,72.54,80.7,75.09,B,22,Yes,No,Diploma,Middle,Low
Sai,Banerjee,sai.banerjee336@example.com,Other,18,Civil,65.21,72.75,71.77,80.79,75.43,68.27,90.36,75.42,B,22,No,No,Bachelor,High,Medium
Arjun,Tiwari,arjun.tiwari244@example.com,Other,17,Information Technology,78.41,69.59,58.0,70.57,63.38,76.27,96.54,68.09,C,6,No,No,PhD,Low,Low
Aditya,Kapoor,aditya.kapoor5@example.com,Female,23,Electrical,66.28,45.8,94.07,72.91,65.97,88.4,68.73,73.2,B,17,No,Yes,PhD,High,Medium
Aditya,Pandey,aditya.pandey668@example.com,Other,19,Civil,98.26,80.17,64.68,96.57,66.73,85.42,79.59,76.07,B,31,No,Yes,Diploma,High,Medium
Sai,Chatterjee,sai.chatterjee80@example.com,Other,23,Mechanical,93.02,93.42,72.48,67.47,79.52,71.22,100.0,80.36,B,34,No,Yes,High School,Middle,High
Atharv,Kapoor,atharv.kapoor975@example.com,Male,25,Electronics,81.37,64.52,74.77,61.53,62.34,90.0,68.12,69.07,C,20,Yes,Yes,Diploma,Middle,Low
Ishaan,Sharma,ishaan.sharma163@example.com,Other,18,Mechanical,69.53,78.05,89.79,82.19,85.95,70.43,58.94,81.28,B,24,No,No,High School,Low,High
Aadhya,Iyer,aadhya.iyer595@example.com,Other,17,Electrical,95.01,65.16,68.24,88.28,80.67,82.56,100.0,75.61,B,11,No,Yes,Master,Low,Medium
Aadhya,Das,aadhya.das955@example.com,Male,21,Computer Science,73.56,83.92,72.86,77.69,92.34,83.08,82.46,79.77,B,8,Yes,Yes,Bachelor,Low,Medium
Riya,Gupta,riya.gupta448@example.com,Female,22,Electrical,90.73,64.53,59.41,64.55,50.4,98.56,62.76,62.85,C,20,Yes,Yes,Diploma,High,High
Navya,Malhotra,navya.malhotra786@example.com,Other,18,Information Technology,77.79,65.85,76.61,83.16,84.33,72.17,73.99,75.19,B,21,No,No,Bachelor,Middle,Medium
Aditya,Yadav,aditya.yadav225@example.com,Other,22,Electrical,82.83,66.27,96.11,79.91,82.82,84.63,90.08,83.71,B,8,No,Yes,PhD,High,Low
Aadhya,Mehta,aadhya.mehta123@example.com,Male,22,Electrical,81.81,50.55,78.0,68.49,67.66,83.86,90.86,70.25,B,28,Yes,No,High School,High,High
Aditya,Yadav,aditya.yadav331@example.com,Male,22,Electrical,80.21,74.63,97.53,77.41,100.0,83.66,54.87,84.08,B,24,No,No,High School,Low,Medium
Navya,Pandey,navya.pandey359@example.com,Male,21,Information Technology,87.53,75.72,91.35,81.73,72.34,65.76,73.49,81.03,B,18,Yes,No,Diploma,High,Low
Pari,Chatterjee,pari.chatterjee631@example.com,Male,20,Electronics,71.49,61.29,80.83,91.7,78.74,66.04,81.34,76.68,B,8,No,Yes,Diploma,Middle,Low
Vivaan,Malhotra,vivaan.malhotra685@example.com,Other,18,Data Science,91.97,60.85,69.99,75.15,64.58,84.48,74.55,69.12,C,24,Yes,No,Diploma,Middle,Low
Arjun,Reddy,arjun.reddy184@example.com,Female,18,Civil,84.2,56.69,65.44,82.22,69.53,95.27,71.2,68.25,C,8,No,Yes,Master,Middle,Low
Ishaan,Mehta,ishaan.mehta156@example.com,Other,20,Electrical,82.25,83.99,50.72,57.39,55.69,90.63,69.38,64.4,C,27,No,No,Bachelor,High,Medium
Navya,Chatterjee,navya.chatterjee816@example.com,Male,24,Electrical,100.0,61.54,74.77,90.42,98.07,98.62,90.5,78.9,B,17,Yes,Yes,Diploma,Middle,High
Vivaan,Malhotra,vivaan.malhotra761@example.com,Other,23,Electronics,90.24,78.89,83.68,69.49,64.18,77.97,73.96,77.14,B,33,No,No,PhD,Low,Low
Navya,Chatterjee,navya.chatterjee613@example.com,Other,19,Electrical,75.47,80.45,86.33,75.88,91.73,66.58,73.68,81.58,B,22,Yes,No,Diploma,High,Low
Anika,Banerjee,anika.banerjee616@example.com,Other,20,Data Science,72.83,42.0,70.76,73.78,92.16,84.31,63.71,66.14,C,34,Yes,Yes,Bachelor,High,High
Siya,Iyer,siya.iyer528@example.com,Male,19,Computer Science,98.54,88.32,80.73,72.74,62.49,74.28,89.06,80.11,B,22,Yes,No,PhD,High,Medium
Aarav,Yadav,aarav.yadav294@example.com,Female,20,Data Science,98.85,93.15,64.67,63.8,75.69,60.32,79.88,74.06,B,20,No,Yes,High School,High,High
Anika,Gupta,anika.gupta138@example.com,Female,19,Computer Science,78.52,63.01,48.08,80.14,67.61,66.3,41.53,58.83,C,27,Yes,No,High School,Middle,Medium
Saanvi,Kumar,saanvi.kumar323@example.com,Male,24,Electrical,79.72,96.58,96.92,70.43,66.77,82.69,64.02,85.85,A,15,No,Yes,Bachelor,High,Low
Ishaan,Verma,ishaan.verma900@example.com,Female,25,Information Technology,83.02,81.49,90.4,74.0,71.56,69.22,66.08,80.34,B,25,No,No,Bachelor,Middle,Medium
Diya,Banerjee,diya.banerjee230@example.com,Male,23,Mechanical,77.74,75.51,85.7,66.97,91.91,75.29,75.74,79.45,B,12,Yes,Yes,High School,High,High
Arjun,Sharma,arjun.sharma135@example.com,Other,17,Electrical,72.53,33.64,85.26,82.37,70.62,78.67,82.19,69.82,C,16,Yes,Yes,Master,Low,Medium
Sai,Chatterjee,sai.chatterjee152@example.com,Male,19,Data Science,64.37,62.06,83.91,62.46,77.52,64.43,81.6,73.39,B,15,Yes,No,Master,High,High
Reyansh,Malhotra,reyansh.malhotra578@example.com,Male,18,Electrical,79.64,45.77,89.47,67.65,64.28,80.01,89.78,72.31,B,26,Yes,No,Diploma,Low,Low
Anaya,Iyer,anaya.iyer391@example.com,Male,25,Data Science,69.84,70.93,78.43,81.93,76.12,74.33,66.07,75.41,B,17,Yes,Yes,Diploma,High,High
Anika,Banerjee,anika.banerjee204@example.com,Female,24,Electrical,80.86,53.92,28.18,79.37,84.85,54.37,63.88,52.84,D,22,Yes,Yes,High School,Low,High
Anaya,Sharma,anaya.sharma361@example.com,Male,22,Information Technology,86.19,100.0,72.31,67.72,71.81,91.75,68.25,79.06,B,21,Yes,No,High School,Low,Medium
Navya,Gupta,navya.gupta548@example.com,Other,18,Electrical,72.01,62.76,57.7,76.23,93.5,81.23,72.97,68.03,C,33,No,Yes,Master,Low,Low
Atharv,Verma,atharv.verma399@example.com,Other,21,Electrical,77.08,46.55,85.25,74.22,71.83,100.0,79.59,72.75,B,8,No,No,Bachelor,Low,Medium
Anaya,Mehta,anaya.mehta691@example.com,Male,24,Civil,72.48,63.6,89.23,76.13,56.74,87.19,67.98,75.38,B,31,Yes,No,Diploma,High,High
Pari,Patel,pari.patel471@example.com,Other,25,Information Technology,98.73,86.2,65.29,87.81,74.81,86.53,81.82,77.56,B,15,No,Yes,High School,High,Low
Siya,Banerjee,siya.banerjee772@example.com,Other,21,Computer Science,71.54,60.35,87.45,71.65,69.16,68.45,81.08,74.89,B,12,No,Yes,PhD,Low,High
Saanvi,Gupta,saanvi.gupta966@example.com,Male,24,Electronics,100.0,53.99,72.36,89.12,73.04,82.52,63.25,69.95,C,29,Yes,No,Diploma,Middle,Low
Atharv,Verma,atharv.verma743@example.com,Other,23,Electronics,84.28,67.19,86.79,86.87,100.0,83.8,79.91,82.39,B,15,No,Yes,PhD,High,Medium
Vivaan,Sharma,vivaan.sharma623@example.com,Other,24,Electrical,81.94,64.7,77.08,72.05,76.02,91.18,63.92,72.51,B,14,Yes,No,Bachelor,High,Medium
Sai,Mehta,sai.mehta89@example.com,Male,18,Information Technology,91.4,89.76,70.23,53.78,66.71,90.97,75.73,73.88,B,18,No,No,Master,Low,Low
Riya,Patel,riya.patel551@example.com,Female,17,Mechanical,70.01,62.43,84.61,80.47,71.13,74.33,71.3,75.25,B,16,Yes,No,Bachelor,Low,Low
Vivaan,Mehta,vivaan.mehta299@example.com,Female,23,Computer Science,70.78,94.23,67.17,87.17,92.26,87.98,70.82,80.85,B,10,Yes,Yes,Master,High,Medium
Anika,Saxena,anika.saxena917@example.com,Other,18,Data Science,84.04,69.64,58.44,78.24,59.85,89.88,70.42,67.12,C,23,Yes,No,Master,Low,Medium
Aarav,Chatterjee,aarav.chatterjee31@example.com,Male,25,Electrical,82.01,74.25,68.12,80.87,68.3,86.71,59.85,71.68,B,11,No,No,PhD,High,Medium
Krishna,Kumar,krishna.kumar248@example.com,Other,18,Data Science,81.26,99.08,57.0,68.22,80.17,79.8,80.21,74.98,B,28,Yes,No,Master,Low,High
Navya,Verma,navya.verma601@example.com,Other,17,Civil,84.89,79.52,88.65,79.1,71.1,84.73,98.8,84.0,B,31,Yes,Yes,Diploma,High,Medium
Vivaan,Singh,vivaan.singh255@example.com,Other,21,Mechanical,78.67,55.38,88.61,73.8,47.93,86.47,69.58,72.0,B,19,No,Yes,Bachelor,High,Low
Vivaan,Malhotra,vivaan.malhotra433@example.com,Female,17,Mechanical,79.09,74.98,74.86,82.09,68.77,83.13,72.89,75.58,B,6,Yes,Yes,Diploma,Low,High
Anika,Iyer,anika.iyer271@example.com,Other,21,Electronics,87.39,79.23,57.97,85.86,67.57,86.08,80.41,72.08,B,27,Yes,Yes,Master,Low,Medium
Anika,Malhotra,anika.malhotra271@example.com,Other,25,Civil,98.38,66.65,66.76,74.81,70.36,86.0,56.6,68.25,C,33,Yes,Yes,Master,High,Medium
Aadhya,Verma,aadhya.verma298@example.com,Female,21,Mechanical,69.46,53.98,86.25,92.11,72.75,76.31,76.84,76.28,B,23,No,Yes,High School,Low,Medium
Saanvi,Singh,saanvi.singh662@example.com,Other,22,Mechanical,91.62,56.09,75.58,84.75,80.01,79.9,88.01,73.98,B,24,Yes,No,PhD,Low,Medium
Anaya,Nair,anaya.nair440@example.com,Male,24,Information Technology,52.97,80.17,62.19,56.69,80.13,91.74,74.35,70.35,B,30,No,Yes,Master,Low,Medium
Krishna,Pandey,krishna.pandey110@example.com,Male,21,Electronics,89.53,94.18,91.72,91.4,82.91,78.75,56.78,87.27,A,22,Yes,No,High School,Middle,High
Saanvi,Chatterjee,saanvi.chatterjee752@example.com,Other,23,Electrical,77.54,57.35,100.0,73.24,75.48,83.51,76.52,79.7,B,35,Yes,Yes,Bachelor,Low,Low
Aarav,Kumar,aarav.kumar4@example.com,Other,19,Mechanical,96.95,60.66,74.92,67.58,58.16,71.88,75.56,68.49,C,32,No,Yes,Diploma,High,Medium
Reyansh,Joshi,reyansh.joshi782@example.com,Female,17,Electrical,75.71,59.61,50.91,74.17,55.94,85.6,76.99,61.42,C,24,No,No,Bachelor,Middle,Medium
Reyansh,Reddy,reyansh.reddy534@example.com,Female,25,Electronics,65.42,65.36,60.72,78.19,90.09,59.25,77.38,69.03,C,22,No,No,Diploma,Middle,Low
Aditya,Pandey,aditya.pandey177@example.com,Female,17,Electrical,78.4,80.07,75.2,67.48,70.17,70.04,88.91,75.87,B,26,No,No,Bachelor,High,High
Aarav,Yadav,aarav.yadav904@example.com,Female,17,Electrical,80.21,98.52,71.09,67.92,55.84,59.97,56.99,73.98,B,5,Yes,Yes,Diploma,High,High
Vivaan,Kapoor,vivaan.kapoor48@example.com,Female,20,Information Technology,82.67,77.63,48.28,83.95,68.2,79.47,95.35,69.23,C,14,Yes,Yes,High School,Low,Medium
Ishaan,Verma,ishaan.verma606@example.com,Male,18,Data Science,88.97,65.97,58.63,53.48,65.37,75.89,64.15,61.78,C,25,Yes,No,Master,Middle,High
Shaurya,Singh,shaurya.singh231@example.com,Other,25,Mechanical,78.69,71.15,68.63,68.5,76.02,82.42,62.92,70.1,B,27,No,No,Master,High,Medium
Aadhya,Chatterjee,aadhya.chatterjee997@example.com,Female,17,Computer Science,94.11,68.52,72.28,82.08,76.8,87.53,79.45,74.74,B,10,No,Yes,High School,Low,Medium
Aditya,Kapoor,aditya.kapoor796@example.com,Other,19,Electrical,73.88,75.42,54.84,76.09,73.6,75.92,74.46,68.07,C,24,Yes,No,PhD,Middle,Low
Shaurya,Pandey,shaurya.pandey554@example.com,Female,21,Electrical,61.18,61.77,73.39,76.6,61.67,90.66,65.61,69.88,C,25,Yes,Yes,Diploma,High,Low
Anika,Malhotra,anika.malhotra238@example.com,Other,23,Electronics,89.69,76.41,62.31,92.75,59.68,87.19,88.01,73.95,B,16,Yes,Yes,PhD,Middle,Low
Siya,Singh,siya.singh104@example.com,Female,25,Information Technology,73.29,90.89,68.25,77.89,77.12,76.66,85.73,78.41,B,6,No,No,High School,Middle,Low
Sai,Singh,sai.singh180@example.com,Female,22,Mechanical,87.93,43.77,91.57,58.38,86.39,89.27,62.91,71.14,B,10,No,No,PhD,High,Medium
Riya,Sharma,riya.sharma923@example.com,Male,22,Data Science,75.89,53.41,68.78,71.92,83.36,91.1,92.75,70.38,B,7,No,Yes,Diploma,Middle,Low
Navya,Tiwari,navya.tiwari169@example.com,Female,22,Data Science,74.38,66.86,46.75,66.94,85.58,94.16,61.19,62.5,C,33,No,No,PhD,Low,Medium
Navya,Iyer,navya.iyer358@example.com,Other,25,Mechanical,74.08,69.6,76.2,66.9,79.09,73.26,75.83,73.26,B,9,Yes,Yes,Bachelor,High,Low
Myra,Gupta,myra.gupta824@example.com,Male,19,Computer Science,85.46,70.1,65.45,73.9,72.94,74.3,72.89,69.82,C,31,No,Yes,High School,Middle,High
Navya,Iyer,navya.iyer222@example.com,Male,24,Mechanical,95.99,78.41,67.57,81.97,69.99,89.73,80.44,75.08,B,29,No,No,PhD,High,Low
Arjun,Banerjee,arjun.banerjee313@example.com,Female,18,Mechanical,78.93,76.72,48.44,63.73,59.67,79.43,96.79,65.31,C,7,No,Yes,Master,Low,Medium
Anika,Patel,anika.patel340@example.com,Male,20,Civil,100.0,79.57,79.51,56.99,67.49,70.12,68.55,73.38,B,15,Yes,No,Diploma,Low,Low
Sai,Tiwari,sai.tiwari58@example.com,Other,23,Electronics,78.32,62.92,42.31,82.48,61.13,80.39,100.0,63.04,C,23,No,Yes,High School,High,High
Reyansh,Chatterjee,reyansh.chatterjee471@example.com,Male,23,Computer Science,70.81,32.05,67.71,86.01,97.5,65.7,81.96,65.84,C,27,No,Yes,Master,Middle,High
Siya,Iyer,siya.iyer777@example.com,Other,17,Civil,75.35,68.41,100.0,59.97,77.04,82.68,89.03,81.84,B,19,No,Yes,PhD,High,High
Sai,Gupta,sai.gupta365@example.com,Female,25,Electronics,80.98,74.62,66.13,77.69,69.88,84.22,71.56,71.81,B,18,Yes,No,Master,Low,Low
Aadhya,Reddy,aadhya.reddy465@example.com,Other,19,Mechanical,83.77,69.56,88.89,74.49,52.72,90.62,65.13,75.99,B,11,No,Yes,Master,Middle,High
Saanvi,Malhotra,saanvi.malhotra743@example.com,Other,24,Civil,73.46,61.07,92.62,53.64,100.0,88.56,78.68,78.02,B,32,No,No,Master,High,Low
Aarav,Gupta,aarav.gupta55@example.com,Other,19,Data Science,79.45,74.28,79.82,81.45,80.67,78.9,73.63,78.1,B,5,No,Yes,PhD,Middle,Medium
Arjun,Nair,arjun.nair790@example.com,Other,21,Computer Science,78.49,67.08,89.01,80.94,38.72,84.56,78.34,75.99,B,22,No,No,Diploma,High,High
Aarav,Tiwari,aarav.tiwari445@example.com,Male,17,Electrical,79.81,64.17,88.86,84.48,64.73,82.07,64.34,76.83,B,16,Yes,No,Master,Low,High
Siya,Saxena,siya.saxena43@example.com,Other,22,Electronics,66.2,60.6,84.94,84.53,80.16,85.25,82.19,78.05,B,19,No,No,Diploma,Low,High
Aarav,Chatterjee,aarav.chatterjee714@example.com,Other,23,Computer Science,73.59,76.48,84.01,82.54,88.27,85.08,80.22,82.01,B,18,Yes,Yes,Master,Middle,High
Aditya,Tiwari,aditya.tiwari65@example.com,Female,23,Computer Science,90.7,69.6,58.77,73.37,65.06,71.25,74.27,66.47,C,19,Yes,Yes,Diploma,Middle,High
Vivaan,Gupta,vivaan.gupta22@example.com,Other,20,Mechanical,72.08,65.38,43.6,77.13,74.01,69.83,83.91,62.46,C,13,Yes,No,PhD,Middle,Medium
Navya,Nair,navya.nair316@example.com,Male,18,Civil,89.38,45.89,60.56,67.31,62.72,86.29,73.67,60.72,C,10,No,No,Bachelor,Middle,Medium
Aditya,Reddy,aditya.reddy74@example.com,Male,20,Computer Science,77.35,39.94,81.53,62.61,74.72,80.77,92.33,68.66,C,29,Yes,Yes,Diploma,Middle,Medium
Riya,Tiwari,riya.tiwari506@example.com,Male,23,Information Technology,66.91,24.71,74.76,93.01,88.87,80.1,70.1,66.19,C,25,Yes,Yes,Diploma,Middle,High
Anika,Mehta,anika.mehta372@example.com,Male,18,Electrical,88.07,55.4,79.15,80.05,86.72,100.0,80.71,75.3,B,30,No,Yes,High School,High,High
Aadhya,Chatterjee,aadhya.chatterjee603@example.com,Other,21,Electronics,74.91,69.62,45.46,68.05,69.09,72.76,77.83,61.85,C,16,Yes,No,Bachelor,High,Low
Sai,Gupta,sai.gupta806@example.com,Other,21,Data Science,71.78,86.82,72.0,74.91,70.07,79.55,85.9,77.72,B,33,No,Yes,Master,High,Medium
Ishaan,Pandey,ishaan.pandey202@example.com,Male,21,Computer Science,71.33,60.13,67.44,61.54,64.17,73.24,86.49,66.6,C,29,Yes,No,Diploma,Low,Medium
Anika,Banerjee,anika.banerjee567@example.com,Other,24,Computer Science,82.63,72.9,84.76,73.63,78.69,76.97,79.18,78.57,B,8,Yes,Yes,Bachelor,Low,Medium
Shaurya,Chatterjee,shaurya.chatterjee200@example.com,Male,21,Civil,74.17,33.42,69.99,89.23,85.11,87.65,90.83,68.21,C,27,Yes,Yes,Master,High,High
Ishaan,Iyer,ishaan.iyer806@example.com,Other,17,Information Technology,80.89,72.96,62.74,71.84,81.39,90.04,74.33,71.05,B,8,No,No,PhD,Low,High
Myra,Malhotra,myra.malhotra835@example.com,Female,25,Mechanical,75.5,70.01,81.02,60.56,46.45,72.49,61.35,69.35,C,30,No,No,Diploma,High,Medium
Aarav,Pandey,aarav.pandey172@example.com,Other,19,Electronics,74.92,67.78,65.2,89.52,77.92,81.0,83.47,73.38,B,7,No,No,Master,High,Low
Shaurya,Singh,shaurya.singh448@example.com,Female,22,Civil,68.61,85.59,70.86,81.7,61.14,62.46,85.81,76.27,B,16,Yes,Yes,High School,Low,High
Pari,Reddy,pari.reddy503@example.com,Female,22,Information Technology,83.76,56.47,58.96,86.25,59.73,94.43,65.19,64.9,C,24,No,Yes,High School,Middle,Low
Siya,Iyer,siya.iyer958@example.com,Other,17,Mechanical,86.38,65.07,81.05,69.56,72.05,78.41,63.97,72.59,B,8,Yes,No,Master,High,High
Anaya,Yadav,anaya.yadav650@example.com,Female,25,Electrical,87.41,62.3,68.57,65.06,43.25,76.09,100.0,67.46,C,25,Yes,No,Master,High,Medium
Diya,Chatterjee,diya.chatterjee101@example.com,Other,19,Information Technology,87.85,69.71,68.06,75.22,80.57,66.19,89.37,72.83,B,27,No,Yes,Bachelor,Low,High
Siya,Pandey,siya.pandey987@example.com,Male,20,Electronics,87.15,80.77,78.58,75.2,82.07,83.92,71.75,78.55,B,32,No,No,Diploma,High,Low
Anika,Kapoor,anika.kapoor133@example.com,Other,25,Electronics,74.26,71.53,95.24,62.61,56.39,79.65,76.61,77.89,B,30,No,Yes,High School,Middle,Medium
Aadhya,Saxena,aadhya.saxena193@example.com,Other,17,Civil,81.73,73.66,68.65,89.9,54.79,69.72,74.76,72.37,B,17,Yes,No,Master,Middle,Low
Vivaan,Das,vivaan.das852@example.com,Male,24,Data Science,63.57,67.36,96.92,75.21,76.77,65.4,68.6,79.85,B,23,Yes,No,PhD,Middle,Medium
Vivaan,Gupta,vivaan.gupta129@example.com,Male,22,Data Science,76.25,65.23,91.22,80.58,60.66,80.47,81.98,78.61,B,33,No,No,PhD,Middle,Medium
Krishna,Chatterjee,krishna.chatterjee715@example.com,Other,18,Information Technology,91.4,93.71,56.77,66.89,58.91,75.66,81.6,71.17,B,15,Yes,Yes,PhD,Middle,Medium
Siya,Kumar,siya.kumar904@example.com,Male,18,Civil,89.87,68.86,67.2,76.52,63.98,98.9,56.71,69.23,C,5,No,Yes,Diploma,Low,Low
Aadhya,Singh,aadhya.singh453@example.com,Male,18,Data Science,81.85,100.0,72.1,73.1,69.71,76.2,92.47,81.23,B,15,Yes,Yes,Diploma,Low,Low
Pari,Tiwari,pari.tiwari993@example.com,Other,25,Data Science,57.88,93.0,50.64,72.33,68.85,83.89,56.82,68.59,C,29,No,No,PhD,High,Low
Saanvi,Kapoor,saanvi.kapoor501@example.com,Male,25,Electronics,84.62,100.0,51.55,76.9,66.06,82.26,76.23,72.92,B,28,No,No,Diploma,Low,High
Pari,Malhotra,pari.malhotra393@example.com,Other,21,Data Science,73.59,77.32,99.07,73.09,82.64,65.07,64.52,82.94,B,13,No,Yes,Bachelor,Middle,Low
Saanvi,Singh,saanvi.singh445@example.com,Male,17,Civil,84.72,92.26,77.33,71.87,73.99,65.5,83.25,79.91,B,19,No,No,Diploma,High,Medium
Pari,Nair,pari.nair496@example.com,Male,19,Computer Science,88.82,63.22,64.95,77.66,68.76,77.34,100.0,70.93,B,9,No,No,High School,Low,Medium
Myra,Sharma,myra.sharma493@example.com,Male,17,Mechanical,77.53,64.62,62.29,82.44,71.83,71.51,91.86,70.27,B,20,No,No,Diploma,Low,Medium
Aarav,Mehta,aarav.mehta37@example.com,Male,18,Civil,94.2,60.99,44.0,85.08,65.78,85.91,52.36,59.52,C,23,No,Yes,High School,High,Medium
Sai,Patel,sai.patel125@example.com,Female,23,Computer Science,88.93,51.83,82.96,75.14,62.55,73.93,84.24,71.64,B,34,Yes,Yes,Master,High,Medium
Reyansh,Iyer,reyansh.iyer364@example.com,Male,25,Mechanical,81.06,78.77,100.0,59.36,93.41,79.04,65.21,83.41,B,34,No,No,High School,Middle,Medium
Siya,Tiwari,siya.tiwari935@example.com,Female,22,Electrical,66.7,67.16,85.82,73.72,92.13,63.49,75.85,77.86,B,17,No,No,Master,Low,Low
Anaya,Kumar,anaya.kumar109@example.com,Female,18,Electrical,67.48,75.45,85.3,70.79,42.75,79.99,81.24,75.74,B,26,No,Yes,High School,Low,Low
